OrderID,ProductID,ProductCategory,ProductName,Discount(%),SalesAmount,CustomerReview,ReviewDate
100070,P0105,Electronics,Camera,20.84,332.21,Defective,2024-06-08
100071,P0204,Apparel,Jacket,21.61,73.07,Not worth the price,2024-06-10
100072,P0404,Books,Biography,8.23,15.93,Highly recommend,2024-07-09
100073,P0603,Beauty,Eyeliner,9.11,20.39,Satisfactory,2025-02-22
100074,P0105,Electronics,Camera,10.86,154.31,Neither good nor bad,2024-11-17
100075,P0605,Beauty,Perfume,8.42,144.12,Bad experience,2024-12-13
100076,P0502,Sports,Basketball,24.24,207.2,Would not recommend,2025-03-10
100077,P0102,Electronics,Laptop,4.04,288.6,Not worth the price,2024-07-09
100078,P0104,Electronics,Smartwatch,23.2,338.14,Would not recommend,2024-12-25
100079,P0204,Apparel,Jacket,18.65,377.1,Neither good nor bad,2025-04-20
100080,P0503,Sports,Tennis Racket,11.75,23.21,Highly recommend,2024-06-09
100081,P0203,Apparel,Sneakers,20.12,49.05,Very satisfied,2024-07-14
100082,P0104,Electronics,Smartwatch,4.81,442.96,Great value,2025-04-20
100083,P0503,Sports,Tennis Racket,9.8,97.85,Neutral feeling,2024-07-23
100084,P0405,Books,Mystery,29.2,43.16,Good product,2025-04-28
100085,P0105,Electronics,Camera,16.06,258.75,Good product,2025-02-17
100086,P0503,Sports,Tennis Racket,5.84,227.53,Mediocre,2025-02-07
100087,P0505,Sports,Yoga Mat,25.17,163.63,Great value,2025-05-30
100088,P0504,Sports,Running Shoes,9.9,55.32,Decent,2024-10-18
100089,P0504,Sports,Running Shoes,8.57,144.78,Loved it,2024-10-18
100090,P0104,Electronics,Smartwatch,19.21,401.62,Neutral feeling,2024-07-29
100091,P0304,Home & Kitchen,Vacuum Cleaner,8.56,222.87,Average product,2024-07-06
100092,P0401,Books,Fiction,15.63,272.08,Good product,2024-07-29
100093,P0505,Sports,Yoga Mat,20.1,130.17,Acceptable,2024-08-07
100094,P0302,Home & Kitchen,Microwave,27.87,308.89,Neutral feeling,2024-09-08
100095,P0101,Electronics,Smartphone,21.78,131.14,Exceeded expectations,2024-07-07
100096,P0401,Books,Fiction,27.41,338.19,Works perfectly,2025-03-10
100097,P0204,Apparel,Jacket,12.03,334.85,Okay quality,2024-11-25
100098,P0501,Sports,Football,24.67,53.96,Waste of money,2024-08-22
100099,P0201,Apparel,T-Shirt,1.35,167.32,Excellent quality,2025-04-30
100100,P0403,Books,Science,27.97,334.11,Works perfectly,2024-09-08
100101,P0603,Beauty,Eyeliner,16.92,90.12,Exceeded expectations,2024-12-08
100102,P0303,Home & Kitchen,Coffee Maker,20.84,216.88,It's fine,2025-01-02
100103,P0602,Beauty,Foundation,6.8,49.92,Nothing special,2025-04-27
100104,P0303,Home & Kitchen,Coffee Maker,15.34,394.7,Decent,2024-09-06
100105,P0602,Beauty,Foundation,22.36,365.69,Would not recommend,2024-07-24
100106,P0403,Books,Science,6.23,239.11,Excellent quality,2025-02-24
100107,P0105,Electronics,Camera,0.64,83.77,Okay quality,2025-05-26
100108,P0101,Electronics,Smartphone,0.59,446.33,Acceptable,2024-11-04
100109,P0401,Books,Fiction,13.99,14.11,Acceptable,2024-10-11
100110,P0303,Home & Kitchen,Coffee Maker,20.82,364.44,Okay quality,2024-12-17
100111,P0402,Books,Non-Fiction,28.6,250.22,Neither good nor bad,2024-08-07
100112,P0102,Electronics,Laptop,25.91,228.47,Loved it,2024-10-31
100113,P0301,Home & Kitchen,Blender,22.74,66.08,Waste of money,2025-03-06
100114,P0103,Electronics,Headphones,28.7,135.85,Best purchase,2025-01-21
100115,P0204,Apparel,Jacket,2.19,293.67,Would not recommend,2024-07-16
100116,P0104,Electronics,Smartwatch,5.02,72.93,It's fine,2025-01-11
100117,P0205,Apparel,Hat,0.75,408.8,Exceeded expectations,2025-02-06
100118,P0601,Beauty,Lipstick,3.47,227.69,Bad experience,2024-11-13
100119,P0304,Home & Kitchen,Vacuum Cleaner,0.59,117.62,Would not recommend,2024-09-11
100120,P0305,Home & Kitchen,Toaster,3.51,361.11,Fantastic,2025-01-25
100121,P0201,Apparel,T-Shirt,27.86,346.72,Good product,2025-02-19
100122,P0602,Beauty,Foundation,8.18,233.54,Exceeded expectations,2025-01-27
100123,P0301,Home & Kitchen,Blender,19.15,340.75,Terrible,2024-11-04
100124,P0403,Books,Science,3.14,60.21,Works perfectly,2024-07-14
100125,P0604,Beauty,Moisturizer,15.85,246.62,Very satisfied,2025-01-17
100126,P0504,Sports,Running Shoes,20.22,351.24,Disappointed,2025-02-11
100127,P0405,Books,Mystery,11.79,77.7,Satisfactory,2024-08-18
100128,P0402,Books,Non-Fiction,26.61,139.09,Great value,2025-05-23
100129,P0102,Electronics,Laptop,1.99,298.06,Not worth the price,2025-02-17
100130,P0305,Home & Kitchen,Toaster,21.45,141.8,Good product,2025-04-21
100131,P0503,Sports,Tennis Racket,7.1,12.73,Acceptable,2025-01-26
100132,P0303,Home & Kitchen,Coffee Maker,17.08,206.57,Best purchase,2024-12-17
100133,P0303,Home & Kitchen,Coffee Maker,10.82,298.43,Neutral feeling,2025-01-04
100134,P0302,Home & Kitchen,Microwave,23.12,34.18,Very satisfied,2024-10-16
100135,P0505,Sports,Yoga Mat,19.99,8.65,Very satisfied,2024-09-26
100136,P0604,Beauty,Moisturizer,0.67,150.12,Loved it,2024-06-01
100137,P0101,Electronics,Smartphone,1.02,207.41,Exceeded expectations,2024-09-04
100138,P0302,Home & Kitchen,Microwave,2.43,439.03,Decent,2025-05-28
100139,P0403,Books,Science,8.99,163.87,Would not recommend,2024-09-27
100140,P0605,Beauty,Perfume,11.51,70.5,Great value,2024-12-02
100141,P0603,Beauty,Eyeliner,24.2,112.77,Excellent quality,2024-11-13
100142,P0103,Electronics,Headphones,28.9,140.46,Loved it,2024-07-11
100143,P0502,Sports,Basketball,20.94,321.05,Best purchase,2024-10-04
100144,P0104,Electronics,Smartwatch,29.68,294.13,Fantastic,2024-09-02
100145,P0604,Beauty,Moisturizer,4.25,122.34,It's fine,2024-09-12
100146,P0505,Sports,Yoga Mat,20.01,266.58,Exceeded expectations,2024-12-25
100147,P0302,Home & Kitchen,Microwave,1.63,233.8,Highly recommend,2024-12-03
100148,P0502,Sports,Basketball,20.93,274.12,Loved it,2025-01-01
100149,P0402,Books,Non-Fiction,26.33,138.02,Loved it,2025-04-22
100150,P0403,Books,Science,6.48,116.69,Acceptable,2024-09-09
100151,P0202,Apparel,Jeans,10.12,196.44,Neutral feeling,2024-12-19
100152,P0502,Sports,Basketball,13.66,389.99,Nothing special,2024-12-04
100153,P0201,Apparel,T-Shirt,2.14,439.32,Works perfectly,2025-01-17
100154,P0403,Books,Science,27.82,342.88,Great value,2024-09-04
100155,P0503,Sports,Tennis Racket,22.19,350.61,Good product,2024-06-30
100156,P0602,Beauty,Foundation,1.85,291.08,Great value,2025-02-26
100157,P0101,Electronics,Smartphone,8.29,130.69,Good product,2025-02-01
100158,P0105,Electronics,Camera,16.18,344.19,It's fine,2024-12-11
100159,P0301,Home & Kitchen,Blender,19.91,337.19,Average product,2024-09-25
100160,P0605,Beauty,Perfume,27.69,318.02,Highly recommend,2025-03-05
100161,P0605,Beauty,Perfume,11.77,150.35,Nothing special,2024-08-22
100162,P0203,Apparel,Sneakers,5.55,224.37,Good product,2025-01-24
100163,P0403,Books,Science,10.99,198.51,Neutral feeling,2024-08-03
100164,P0302,Home & Kitchen,Microwave,17.44,208.21,Excellent quality,2025-03-21
100165,P0502,Sports,Basketball,4.39,178.01,Mediocre,2024-09-06
100166,P0305,Home & Kitchen,Toaster,8.38,394.4,Nothing special,2024-06-28
100167,P0104,Electronics,Smartwatch,11.56,274.54,Disappointed,2024-12-09
100168,P0205,Apparel,Hat,23.76,372.05,Mediocre,2024-10-14
100169,P0103,Electronics,Headphones,5.45,19.53,Terrible,2024-06-30
100170,P0603,Beauty,Eyeliner,13.7,219.53,Okay quality,2024-07-20
100171,P0203,Apparel,Sneakers,1.52,294.36,It's fine,2024-06-18
100172,P0402,Books,Non-Fiction,22.63,384.83,Stopped working,2025-01-11
100173,P0603,Beauty,Eyeliner,6.12,345.81,Highly recommend,2025-03-31
100174,P0404,Books,Biography,19.51,93.91,Would not recommend,2025-05-30
100175,P0305,Home & Kitchen,Toaster,10.68,71.45,Would not recommend,2025-05-21
100176,P0303,Home & Kitchen,Coffee Maker,27.71,230.19,Best purchase,2024-12-28
100177,P0501,Sports,Football,10.36,288.66,Mediocre,2024-12-22
100178,P0201,Apparel,T-Shirt,19.21,290.12,Neither good nor bad,2024-12-08
100179,P0501,Sports,Football,27.59,244.73,Neutral feeling,2025-02-26
100180,P0602,Beauty,Foundation,28.33,191.19,Acceptable,2025-04-11
100181,P0504,Sports,Running Shoes,12.29,276.98,Great value,2025-05-23
100182,P0304,Home & Kitchen,Vacuum Cleaner,2.36,454.57,Good product,2025-01-18
100183,P0301,Home & Kitchen,Blender,1.3,460.05,Cheaply made,2025-03-10
100184,P0105,Electronics,Camera,15.64,337.16,Acceptable,2024-06-13
100185,P0101,Electronics,Smartphone,11.17,238.6,Exceeded expectations,2024-08-26
100186,P0105,Electronics,Camera,13.15,62.34,Great value,2025-03-08
100187,P0102,Electronics,Laptop,26.47,190.03,Neither good nor bad,2024-06-30
100188,P0402,Books,Non-Fiction,19.44,111.01,Great value,2025-02-19
100189,P0301,Home & Kitchen,Blender,23.34,159.34,Mediocre,2024-07-02
100190,P0405,Books,Mystery,0.32,139.73,Loved it,2024-09-08
100191,P0405,Books,Mystery,23.62,282.51,Satisfactory,2025-01-01
100192,P0304,Home & Kitchen,Vacuum Cleaner,2.51,360.51,It's fine,2024-07-06
100193,P0204,Apparel,Jacket,21.19,20.3,Defective,2024-11-15
100194,P0202,Apparel,Jeans,10.2,207.72,Nothing special,2024-07-14
100195,P0102,Electronics,Laptop,7.2,25.53,Bad experience,2024-12-18
100196,P0505,Sports,Yoga Mat,16.91,343.56,Works perfectly,2024-08-14
100197,P0603,Beauty,Eyeliner,28.65,78.58,Not worth the price,2025-03-10
100198,P0402,Books,Non-Fiction,23.25,37.24,Highly recommend,2025-04-26
100199,P0402,Books,Non-Fiction,23.13,32.8,Works perfectly,2025-05-31
100200,P0604,Beauty,Moisturizer,26.15,243.3,Mediocre,2025-05-12
100201,P0502,Sports,Basketball,10.49,308.33,Highly recommend,2024-07-13
100202,P0305,Home & Kitchen,Toaster,5.69,262.31,Excellent quality,2025-05-01
100203,P0203,Apparel,Sneakers,8.77,207.26,Waste of money,2025-03-18
100204,P0504,Sports,Running Shoes,5.79,389.38,Great value,2025-03-23
100205,P0303,Home & Kitchen,Coffee Maker,20.77,182.46,Bad experience,2024-06-07
100206,P0401,Books,Fiction,19.49,337.9,Loved it,2025-02-12
100207,P0605,Beauty,Perfume,8.1,193.38,It's fine,2025-03-27
100208,P0103,Electronics,Headphones,26.33,333.93,Waste of money,2025-05-09
100209,P0305,Home & Kitchen,Toaster,19.5,315.21,Poor quality,2024-08-03
100210,P0405,Books,Mystery,25.51,273.68,Fantastic,2025-01-20
100211,P0303,Home & Kitchen,Coffee Maker,16.07,30.67,Exceeded expectations,2024-12-24
100212,P0604,Beauty,Moisturizer,29.38,244.42,Fantastic,2025-04-02
100213,P0104,Electronics,Smartwatch,22.73,338.73,Loved it,2025-03-12
100214,P0405,Books,Mystery,5.76,344.98,Bad experience,2024-08-17
100215,P0303,Home & Kitchen,Coffee Maker,26.67,51.5,Poor quality,2025-04-13
100216,P0404,Books,Biography,14.66,276.44,Great value,2025-01-24
100217,P0502,Sports,Basketball,0.45,111.71,Very satisfied,2024-10-17
100218,P0604,Beauty,Moisturizer,3.09,333.97,Nothing special,2025-03-26
100219,P0304,Home & Kitchen,Vacuum Cleaner,26.26,367.73,Disappointed,2024-11-12
100220,P0204,Apparel,Jacket,29.5,123.68,Satisfactory,2025-03-15
100221,P0402,Books,Non-Fiction,29.33,348.41,Best purchase,2025-03-11
100222,P0502,Sports,Basketball,4.98,427.53,Terrible,2024-11-18
100223,P0301,Home & Kitchen,Blender,5.53,460.05,Exceeded expectations,2024-06-10
100224,P0304,Home & Kitchen,Vacuum Cleaner,19.19,10.98,Highly recommend,2025-04-19
100225,P0401,Books,Fiction,6.59,227.58,Fantastic,2025-01-01
100226,P0404,Books,Biography,21.85,61.57,Excellent quality,2024-06-02
100227,P0602,Beauty,Foundation,29.37,321.15,Highly recommend,2025-01-24
100228,P0102,Electronics,Laptop,6.44,454.35,Great value,2024-12-01
100229,P0202,Apparel,Jeans,20.34,220.7,Decent,2025-05-28
100230,P0303,Home & Kitchen,Coffee Maker,27.58,306.54,Great value,2025-05-13
100231,P0102,Electronics,Laptop,2.91,325.27,Fantastic,2025-03-02
100232,P0204,Apparel,Jacket,11.33,254.71,It's fine,2025-03-07
100233,P0403,Books,Science,15.23,312.01,Waste of money,2024-06-07
100234,P0105,Electronics,Camera,17.31,227.88,Not worth the price,2025-01-31
100235,P0203,Apparel,Sneakers,8.81,149.96,Loved it,2024-09-24
100236,P0504,Sports,Running Shoes,14.94,87.65,Waste of money,2025-02-28
100237,P0302,Home & Kitchen,Microwave,16.25,44.79,Decent,2024-11-14
100238,P0604,Beauty,Moisturizer,3.26,460.13,Very satisfied,2025-03-26
100239,P0302,Home & Kitchen,Microwave,23.79,310.27,Okay quality,2025-01-16
100240,P0303,Home & Kitchen,Coffee Maker,21.95,152.8,Best purchase,2025-04-15
100241,P0404,Books,Biography,0.17,184.24,Waste of money,2024-12-07
100242,P0101,Electronics,Smartphone,27.73,337.28,Great value,2024-07-24
100243,P0403,Books,Science,19.29,398.59,Excellent quality,2024-08-30
100244,P0204,Apparel,Jacket,14.47,276.99,Neutral feeling,2025-04-24
100245,P0501,Sports,Football,13.74,348.21,Very satisfied,2025-04-28
100246,P0502,Sports,Basketball,7.82,174.4,Best purchase,2024-06-23
100247,P0202,Apparel,Jeans,9.06,276.72,Good product,2024-11-30
100248,P0103,Electronics,Headphones,20.77,67.53,It's fine,2024-07-17
100249,P0105,Electronics,Camera,24.67,118.02,Good product,2024-10-24
100250,P0504,Sports,Running Shoes,13.42,424.61,Would not recommend,2024-11-07
100251,P0102,Electronics,Laptop,8.19,420.97,It's fine,2025-02-24
100252,P0303,Home & Kitchen,Coffee Maker,2.93,191.35,Acceptable,2024-09-02
100253,P0502,Sports,Basketball,15.28,70.63,Satisfactory,2024-12-27
100254,P0103,Electronics,Headphones,19.28,96.56,Very satisfied,2024-07-02
100255,P0302,Home & Kitchen,Microwave,18.39,215.8,Excellent quality,2024-12-10
100256,P0604,Beauty,Moisturizer,20.65,208.05,Highly recommend,2024-07-18
100257,P0304,Home & Kitchen,Vacuum Cleaner,15.73,188.8,Mediocre,2024-06-10
100258,P0202,Apparel,Jeans,0.1,40.98,Excellent quality,2024-10-21
100259,P0405,Books,Mystery,7.6,388.26,Nothing special,2024-11-27
100260,P0405,Books,Mystery,14.94,405.05,Exceeded expectations,2025-04-11
100261,P0601,Beauty,Lipstick,21.41,139.88,Decent,2025-02-07
100262,P0604,Beauty,Moisturizer,8.04,377.96,Highly recommend,2024-11-06
100263,P0105,Electronics,Camera,1.94,397.09,Satisfactory,2024-11-16
100264,P0305,Home & Kitchen,Toaster,16.03,139.4,Okay quality,2025-02-21
100265,P0403,Books,Science,5.06,46.66,Exceeded expectations,2024-09-21
100266,P0301,Home & Kitchen,Blender,8.9,45.66,Loved it,2024-12-23
100267,P0503,Sports,Tennis Racket,25.57,316.22,It's fine,2024-06-20
100268,P0604,Beauty,Moisturizer,0.9,65.88,Neither good nor bad,2024-09-17
100269,P0403,Books,Science,6.71,49.25,Okay quality,2025-05-16
100270,P0101,Electronics,Smartphone,9.34,394.79,Bad experience,2024-06-19
100271,P0401,Books,Fiction,25.02,51.78,Disappointed,2024-10-10
100272,P0503,Sports,Tennis Racket,7.79,305.07,Mediocre,2025-05-31
100273,P0204,Apparel,Jacket,23.24,93.42,Average product,2024-07-03
100274,P0501,Sports,Football,0.24,222.52,Great value,2024-11-08
100275,P0302,Home & Kitchen,Microwave,22.12,144.8,Satisfactory,2024-06-11
100276,P0102,Electronics,Laptop,9.67,305.92,Would not recommend,2024-09-27
100277,P0302,Home & Kitchen,Microwave,22.37,208.7,Good product,2025-02-07
100278,P0505,Sports,Yoga Mat,8.4,248.3,Would not recommend,2025-01-09
100279,P0501,Sports,Football,16.13,337.17,Fantastic,2025-01-20
100280,P0603,Beauty,Eyeliner,2.28,93.91,Highly recommend,2024-08-04
100281,P0504,Sports,Running Shoes,1.05,301.9,Mediocre,2025-01-14
100282,P0104,Electronics,Smartwatch,4.39,76.65,Works perfectly,2024-07-23
100283,P0302,Home & Kitchen,Microwave,11.45,56.97,Cheaply made,2024-08-26
100284,P0504,Sports,Running Shoes,1.73,164.07,Works perfectly,2024-07-07
100285,P0205,Apparel,Hat,15.21,215.17,Highly recommend,2024-06-03
100286,P0504,Sports,Running Shoes,28.92,264.31,Works perfectly,2024-10-28
100287,P0304,Home & Kitchen,Vacuum Cleaner,3.54,187.05,Decent,2025-05-04
100288,P0205,Apparel,Hat,26.11,235.53,Great value,2024-12-23
100289,P0104,Electronics,Smartwatch,24.18,194.48,Acceptable,2024-06-21
100290,P0404,Books,Biography,15.8,145.78,Neutral feeling,2024-06-29
100291,P0504,Sports,Running Shoes,22.99,309.16,Average product,2024-07-07
100292,P0204,Apparel,Jacket,27.96,315.9,It's fine,2025-01-26
100293,P0204,Apparel,Jacket,21.95,102.61,Acceptable,2025-03-18
100294,P0103,Electronics,Headphones,21.64,345.33,Neutral feeling,2024-10-18
100295,P0202,Apparel,Jeans,25.95,201.55,Fantastic,2024-08-29
100296,P0102,Electronics,Laptop,13.56,206.57,Neither good nor bad,2025-03-25
100297,P0505,Sports,Yoga Mat,0.64,148.64,Excellent quality,2025-01-20
100298,P0602,Beauty,Foundation,1.18,415.05,Good product,2024-06-25
100299,P0403,Books,Science,13.02,102.92,Very satisfied,2025-01-04
100300,P0402,Books,Non-Fiction,29.26,198.37,It's fine,2025-04-16
100301,P0502,Sports,Basketball,23.89,310.03,Terrible,2025-01-28
100302,P0103,Electronics,Headphones,29.04,70.75,Exceeded expectations,2025-01-05
100303,P0505,Sports,Yoga Mat,16.47,84.48,Fantastic,2024-11-04
100304,P0405,Books,Mystery,28.14,266.76,Great value,2024-08-12
100305,P0102,Electronics,Laptop,6.95,162.12,Best purchase,2025-01-12
100306,P0602,Beauty,Foundation,22.2,247.87,Neither good nor bad,2025-02-02
100307,P0501,Sports,Football,2.42,296.81,Satisfactory,2025-03-22
100308,P0205,Apparel,Hat,4.64,20.78,Exceeded expectations,2024-07-16
100309,P0103,Electronics,Headphones,9.63,219.06,Great value,2025-04-29
100310,P0605,Beauty,Perfume,26.67,25.07,Mediocre,2025-05-08
100311,P0603,Beauty,Eyeliner,18.06,39.62,Terrible,2025-04-19
100312,P0502,Sports,Basketball,16.16,89.03,Waste of money,2024-07-02
100313,P0403,Books,Science,18.7,225.65,Works perfectly,2024-08-28
100314,P0502,Sports,Basketball,2.63,271.58,It's fine,2025-03-30
100315,P0205,Apparel,Hat,5.93,117.81,Exceeded expectations,2024-08-26
100316,P0602,Beauty,Foundation,28.33,149.25,Great value,2024-12-06
100317,P0304,Home & Kitchen,Vacuum Cleaner,20.2,37.91,Good product,2024-12-08
100318,P0401,Books,Fiction,27.19,264.17,Decent,2024-12-20
100319,P0101,Electronics,Smartphone,0.35,351.5,Neutral feeling,2025-05-19
100320,P0602,Beauty,Foundation,23.96,340.62,Nothing special,2024-09-13
100321,P0201,Apparel,T-Shirt,22.27,194.57,Neither good nor bad,2024-06-01
100322,P0605,Beauty,Perfume,29.7,79.49,Average product,2024-09-12
100323,P0101,Electronics,Smartphone,29.87,199.29,Okay quality,2025-02-21
100324,P0104,Electronics,Smartwatch,4.75,78.56,Mediocre,2024-07-19
100325,P0304,Home & Kitchen,Vacuum Cleaner,15.56,339.83,Highly recommend,2025-03-05
100326,P0301,Home & Kitchen,Blender,0.18,472.94,Highly recommend,2024-08-10
100327,P0302,Home & Kitchen,Microwave,10.18,222.77,Best purchase,2024-06-04
100328,P0301,Home & Kitchen,Blender,24.22,193.67,Mediocre,2024-10-23
100329,P0604,Beauty,Moisturizer,1.3,113.92,Very satisfied,2024-11-08
100330,P0101,Electronics,Smartphone,18.09,158.37,Waste of money,2024-11-23
100331,P0101,Electronics,Smartphone,8.76,116.43,Satisfactory,2024-11-25
100332,P0602,Beauty,Foundation,27.86,91.99,Excellent quality,2025-03-20
100333,P0102,Electronics,Laptop,29.49,110.98,Good product,2025-03-30
100334,P0504,Sports,Running Shoes,6.1,35.15,Loved it,2025-01-08
100335,P0405,Books,Mystery,8.8,409.37,Defective,2024-12-03
100336,P0404,Books,Biography,25.02,345.88,Okay quality,2025-03-25
100337,P0604,Beauty,Moisturizer,27.79,231.46,Loved it,2024-11-30
100338,P0504,Sports,Running Shoes,3.76,419.32,Best purchase,2025-02-26
100339,P0403,Books,Science,23.79,211.54,Excellent quality,2025-01-12
100340,P0603,Beauty,Eyeliner,1.9,357.06,Nothing special,2024-07-03
100341,P0305,Home & Kitchen,Toaster,19.06,92.02,Excellent quality,2025-01-26
100342,P0104,Electronics,Smartwatch,12.41,77.88,Not worth the price,2024-12-27
100343,P0302,Home & Kitchen,Microwave,26.77,305.55,Average product,2024-06-23
100344,P0305,Home & Kitchen,Toaster,27.28,342.8,Bad experience,2025-03-20
100345,P0405,Books,Mystery,0.72,420.05,Satisfactory,2024-06-22
100346,P0603,Beauty,Eyeliner,19.75,42.28,Average product,2024-07-29
100347,P0302,Home & Kitchen,Microwave,24.22,289.67,Great value,2025-01-30
100348,P0504,Sports,Running Shoes,16.77,343.52,Loved it,2025-04-16
100349,P0402,Books,Non-Fiction,4.83,416.05,Neutral feeling,2024-12-12
100350,P0301,Home & Kitchen,Blender,6.99,318.63,Great value,2024-06-03
100351,P0201,Apparel,T-Shirt,1.79,240.96,Great value,2024-12-31
100352,P0202,Apparel,Jeans,24.76,124.64,Good product,2025-04-14
100353,P0104,Electronics,Smartwatch,5.22,153.55,Good product,2024-07-08
100354,P0401,Books,Fiction,26.82,343.94,Cheaply made,2025-03-02
100355,P0202,Apparel,Jeans,15.23,171.78,Excellent quality,2024-12-15
